wave_id,wave_label,wave_position,hypothesis_id,canonical_title,origin,discovery_priority_reference,inclusion_reason,execution_status,planning_only,execution_authorized,next_b_hypothesis_selected
WAVE_3,NEW_MODEL_OUTPUT,3,H08,Per-number ranking-loss model,INTERNAL,TIER_2_EXPLORE_AFTER,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,4,H09,Predictive uncertainty / ensemble dispersion,INTERNAL,TIER_2_EXPLORE_AFTER,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,5,H10,Direct ticket-level scorer with pair/triple residual terms,INTERNAL,TIER_1_EXPLORE_NOW,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,6,H11,Pair/triple interaction residual after marginal number scores,INTERNAL,TIER_2_EXPLORE_AFTER,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,7,H12,Temporal hypergraph motifs / communities,INTERNAL,TIER_2_EXPLORE_AFTER,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,8,H17,Dynamic Bayesian state-space probability model,INTERNAL,TIER_2_EXPLORE_AFTER,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,9,H18,HMM latent-regime gating,INTERNAL,TIER_2_EXPLORE_AFTER,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,10,H25,XGBoost stacking strategy outputs and history,INTERNAL,TIER_2_EXPLORE_AFTER,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,11,EH05,DENSITY_RATIO_IMPORTANCE_WEIGHTED_RECALIBRATION,EXTERNAL_NEW,4.8,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,12,EH13,CONFORMAL_SET_SIZE_COVERAGE_ABSTENTION,EXTERNAL_COMBINATION,4.6,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,13,EH16,CALIBRATED_PROBABILITY_DPP_PORTFOLIO,EXTERNAL_COMBINATION,4.7,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_3,NEW_MODEL_OUTPUT,14,EH17,STATE_SPACE_POSTERIOR_MULTIWINDOW_DISAGREEMENT,EXTERNAL_COMBINATION,4.2,REQUIRES_NEW_MODEL_OR_TYPED_OUTPUT_BEFORE_EXECUTION,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,1,H16,Joint main-number/special-number conditional model,INTERNAL,TIER_3_LONG_SHOT,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,2,H23,"LSTM as residual/meta-feature, not direct ticket generator",INTERNAL,TIER_3_LONG_SHOT,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,3,H24,Transformer as residual/meta-feature,INTERNAL,TIER_3_LONG_SHOT,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,4,H26,Special-aware portfolio geometry,INTERNAL,TIER_3_LONG_SHOT,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,5,EH08,PERSISTENT_HOMOLOGY_ROLLING_STRUCTURE_GATE,EXTERNAL_NEW,3.6,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,6,EH06,HAWKES_EXCITATION_INHIBITION_RESIDUAL_SCORER,EXTERNAL_NEW,4.0,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,7,EH25,TS2VEC_CAUSAL_RESIDUAL_EMBEDDING,EXTERNAL_NEW,3.9,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,8,EH26,STATIONARY_VINE_COPULA_RESIDUAL_DEPENDENCE,EXTERNAL_NEW,4.0,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
WAVE_4,HIGH_COST_LONG_SHOT,9,EH07,NVAR_RESERVOIR_CAUSAL_RESIDUAL_META_FEATURE,EXTERNAL_NEW,4.2,HIGH_COST_OR_LONG_SHOT_PRESERVED_FOR_ORTHOGONALITY,NOT_EXECUTED_PROPOSED_ONLY,YES,NO,NO
