source_id,source_type,title,authors_or_owner,year,url,access_date,method_family,claimed_goal,actual_method,evaluation_method,baseline,temporal_split,reported_result,reproducibility_status,code_available,data_available,external_claim_status,local_validation_status,source_quality_note,hypothesis_ids
S11,PRIMARY_TECHNICAL_SOURCE,"Online MMD drift detection documentation","SeldonIO",YEAR_NOT_ASSERTED,"https://docs.seldon.ai/alibi-detect/cd/methods/online/onlinemmddrift",2026-08-13,"anomaly; distribution shift","Online multivariate drift detection","Kernel two-sample statistic with sequential thresholds","Documented examples","Reference-window null",ONLINE_CAUSAL,"No efficacy result adopted","OFFICIAL_DOCUMENTATION",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Official technical documentation",EH11;EH14
S12,PRIMARY_TECHNICAL_SOURCE,"A Kernel Two-Sample Test","Gretton et al.",2012,"https://www.jmlr.org/papers/v13/gretton12a.html",2026-08-13,"distribution shift; statistical testing","Detect distribution differences","Maximum mean discrepancy","Published simulations and benchmarks","Published two-sample tests",SOURCE_DEPENDENT,"Published performance not adopted","PEER_REVIEWED_PAPER",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH11;EH14
S13,PRIMARY_REPOSITORY,"MAPIE","scikit-learn-contrib/MAPIE",YEAR_NOT_ASSERTED,"https://github.com/scikit-learn-contrib/MAPIE",2026-08-13,"uncertainty; conformal prediction","Prediction intervals and risk control","Conformal prediction and adaptive conformal methods","Repository tests and examples","Calibration baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH13;EH23
S14,PRIMARY_TECHNICAL_SOURCE,"MAPIE adaptive conformal time-series example","MAPIE maintainers",YEAR_NOT_ASSERTED,"https://mapie.readthedocs.io/en/stable/generated/regression/3-scientific-articles/plot_zaffran2022_comparison/",2026-08-13,"uncertainty; conformal prediction","Adaptive uncertainty under time variation","Rolling adaptive conformal calibration","Documented experiment","Static conformal comparison",TEMPORAL_ORDERED,"No efficacy result adopted","OFFICIAL_DOCUMENTATION",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Official technical documentation",EH13
S15,PRIMARY_TECHNICAL_SOURCE,"Conformal Risk Control","Angelopoulos et al.",2022,"https://arxiv.org/abs/2208.02814",2026-08-13,"uncertainty; statistical testing","Control general loss functions","Conformal calibration of risk-controlling sets or decisions","Published experiments","Published baselines",SOURCE_DEPENDENT,"Published performance not adopted","PAPER_WITH_THEORY",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary preprint",EH13;EH23
S16,PRIMARY_REPOSITORY,"DPPy","guilgautier/DPPy",YEAR_NOT_ASSERTED,"https://github.com/guilgautier/DPPy",2026-08-13,"portfolio; diversity","Sample diverse subsets","Determinantal point process samplers","Repository tests and examples","Sampler-specific checks",NOT_TEMPORAL,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation; DPP alone exactly collides with H14",EH16;EH21
S17,PRIMARY_REPOSITORY,"DESlib","scikit-learn-contrib/DESlib",YEAR_NOT_ASSERTED,"https://github.com/scikit-learn-contrib/DESlib",2026-08-13,"meta-learning; selection","Dynamic ensemble selection","Local-competence-based classifier selection","Repository benchmarks","Static ensemble methods",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation; subcase of H01 and H03",EH20
S18,PRIMARY_REPOSITORY,"tick","X-DataInitiative/tick",YEAR_NOT_ASSERTED,"https://github.com/X-DataInitiative/tick",2026-08-13,"stochastic process; point process","Statistical learning for event streams","Hawkes-process simulation and inference","Repository tests and examples","Model-specific baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH06
S19,PRIMARY_TECHNICAL_SOURCE,"tick: a Python library for statistical learning with an emphasis on Hawkes processes and time-dependent models","Bacry et al.",2018,"https://www.jmlr.org/papers/v18/17-381.html",2026-08-13,"stochastic process; point process","Event-history modeling","Penalized Hawkes and time-dependent models","Published software examples","Published baselines",SOURCE_DEPENDENT,"Published performance not adopted","PEER_REVIEWED_PAPER",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary software paper",EH06
S20,PRIMARY_REPOSITORY,"ReservoirPy","reservoirpy/ReservoirPy",YEAR_NOT_ASSERTED,"https://github.com/reservoirpy/reservoirpy",2026-08-13,"nonlinear dynamics; neural representation","Reservoir computing","Echo-state and reservoir models","Repository examples and tests","Model-specific baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH07
S21,PRIMARY_TECHNICAL_SOURCE,"Next generation reservoir computing","Gauthier et al.",2021,"https://www.nature.com/articles/s41467-021-25801-2",2026-08-13,"nonlinear dynamics; representation","Low-compute nonlinear forecasting","Nonlinear vector autoregression as reservoir equivalent","Published experiments","Reservoir-computing comparisons",TEMPORAL_ORDERED,"Published performance not adopted","PEER_REVIEWED_PAPER",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH07
S22,PRIMARY_REPOSITORY,"giotto-tda","giotto-ai/giotto-tda",YEAR_NOT_ASSERTED,"https://github.com/giotto-ai/giotto-tda",2026-08-13,"topological data analysis; nonlinear dynamics","Topological machine learning","Persistent homology and time-series topology pipelines","Repository tests and examples","Feature-pipeline baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH08
S23,PRIMARY_TECHNICAL_SOURCE,"A Short Survey of Topological Data Analysis in Time Series and Systems Analysis","Shafie Gholizadeh; Wlodek Zadrozny",2018,"https://arxiv.org/abs/1809.10745",2026-08-13,"topological data analysis; nonlinear dynamics","Survey time-series topology methods","Delay embeddings; persistent homology; topological summaries","Surveyed studies","Surveyed baselines",SOURCE_DEPENDENT,"Published performance not adopted","RESEARCH_PREPRINT",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary scholarly survey",EH08
S24,PRIMARY_REPOSITORY,"TensorLy","tensorly/TensorLy",YEAR_NOT_ASSERTED,"https://github.com/tensorly/tensorly",2026-08-13,"higher-order dependence; latent factor","Tensor learning","CP; Tucker; tensor regression and algebra","Repository tests and examples","Decomposition-specific baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary implementation",EH09;EH24
S25,PRIMARY_TECHNICAL_SOURCE,"TensorLy: Tensor Learning in Python","Kossaifi et al.",2019,"https://www.jmlr.org/papers/v20/18-277.html",2026-08-13,"higher-order dependence; latent factor","Accessible tensor learning","Tensor decompositions and regression","Software examples","Library comparisons",SOURCE_DEPENDENT,"Published performance not adopted","PEER_REVIEWED_PAPER",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary software paper",EH09;EH24
S26,PRIMARY_TECHNICAL_SOURCE,"Permutation Entropy: A Natural Complexity Measure for Time Series","Bandt; Pompe",2002,"https://doi.org/10.1103/PhysRevLett.88.174102",2026-08-13,"information theory; nonlinear dynamics","Ordinal complexity measurement","Permutation-pattern entropy","Published examples","Entropy comparisons",TEMPORAL_ORDERED,"Published performance not adopted","PEER_REVIEWED_PAPER",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Foundational primary paper",EH10
S27,PRIMARY_TECHNICAL_SOURCE,"Recurrence plots for the analysis of complex systems","Marwan et al.",2007,"https://doi.org/10.1016/j.physrep.2006.11.001",2026-08-13,"nonlinear dynamics; regime","Characterize recurrences in dynamical systems","Recurrence plots and recurrence-quantification statistics","Published examples","Dynamical-system comparisons",TEMPORAL_ORDERED,"Published performance not adopted","PEER_REVIEWED_REVIEW",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary technical review",EH03
S28,PRIMARY_TECHNICAL_SOURCE,"The Context-Tree Weighting Method: Basic Properties","Willems; Shtarkov; Tjalkens",1995,"https://pure.tue.nl/ws/files/1383848/Metis122608.pdf",2026-08-13,"information theory; sequential","Universal coding and prediction","Bayesian weighting over bounded-depth context trees","Theoretical and published examples","Universal coding bounds",ONLINE_CAUSAL,"Published performance not adopted","PEER_REVIEWED_PAPER",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Foundational primary paper",EH04
S29,PRIMARY_TECHNICAL_SOURCE,"Game-Theoretic Statistics and Safe Anytime-Valid Inference","Ramdas et al.",2022,"https://arxiv.org/abs/2210.01948",2026-08-13,"sequential testing; e-values","Anytime-valid inference","E-processes and test martingales","Theory and published examples","Fixed-horizon tests",ONLINE_CAUSAL,"Published performance not adopted","RESEARCH_PREPRINT",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary preprint",EH18
S30,PRIMARY_TECHNICAL_SOURCE,"A Least-squares Approach to Direct Importance Estimation","Kanamori; Hido; Sugiyama",2009,"https://jmlr.csail.mit.edu/papers/v10/kanamori09a.html",2026-08-13,"distribution shift; density ratio","Estimate density ratios directly","Least-squares importance fitting","Published experiments","Density-estimation alternatives",SOURCE_DEPENDENT,"Published performance not adopted","PEER_REVIEWED_PAPER",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH05
S31,PRIMARY_TECHNICAL_SOURCE,"Change Point Detection in Time Series Using Optimal Transport","Cheng et al.",2020,"https://www.michaelchughes.com/papers/ChengAeronHughesEtAl_ICASSP_2020.pdf",2026-08-13,"change detection; optimal transport","Detect distributional changepoints","Wasserstein-distance window comparison","Published experiments","Published changepoint baselines",TEMPORAL_ORDERED,"Published performance not adopted","CONFERENCE_PAPER",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH12
S32,PRIMARY_TECHNICAL_SOURCE,"Sequential change-point detection: Laplace concentration of scan statistics and non-asymptotic delay bounds","Maillard",2019,"https://proceedings.mlr.press/v98/maillard19a.html",2026-08-13,"scan statistics; sequential testing","Sequential structured change detection","Scan statistics with finite-sample delay analysis","Published simulations","Published detectors",ONLINE_CAUSAL,"Published performance not adopted","CONFERENCE_PAPER",NO,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH27
S33,PRIMARY_REPOSITORY,"TS2Vec","zhihanyue/ts2vec",YEAR_NOT_ASSERTED,"https://github.com/zhihanyue/ts2vec",2026-08-13,"self-supervised learning; time series","Universal time-series representations","Hierarchical contrastive learning with causal sliding inference option","Repository reproduction scripts","Representation-learning baselines",SOURCE_DEPENDENT,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,YES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Official implementation",EH25
S34,PRIMARY_TECHNICAL_SOURCE,"TS2Vec: Towards Universal Representation of Time Series","Yue et al.",2021,"https://arxiv.org/abs/2106.10466",2026-08-13,"self-supervised learning; time series","Transferable temporal representations","Hierarchical contrastive representation learning","Published benchmarks","Published representation baselines",SOURCE_DEPENDENT,"Published performance not adopted","RESEARCH_PREPRINT",YES,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH25
S35,PRIMARY_REPOSITORY,"svines","tnagler/svines",YEAR_NOT_ASSERTED,"https://github.com/tnagler/svines",2026-08-13,"copula; higher-order dependence","Stationary vine-copula time-series models","Pair-copula constructions over temporal dependence","Repository examples","Copula-model baselines",TEMPORAL_ORDERED,"No efficacy result adopted","PUBLIC_CODE_REPOSITORY",YES,EXAMPLES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Official implementation",EH26
S36,PRIMARY_TECHNICAL_SOURCE,"Stationary vine copula models for multivariate time series","Nagler et al.",2020,"https://arxiv.org/abs/2008.05990",2026-08-13,"copula; higher-order dependence","Flexible multivariate temporal dependence","Stationary vine-copula factorization","Published simulations and applications","Published copula baselines",TEMPORAL_ORDERED,"Published performance not adopted","RESEARCH_PREPRINT",YES,DESCRIBED,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Primary paper",EH26
S37,LOW_CONFIDENCE_SOURCE,"Lottery 6 aus 49 predictions","CrazyTrain93",YEAR_NOT_ASSERTED,"https://github.com/CrazyTrain93/Lottery_6_aus_49_predictions",2026-08-13,"lottery-specific; neural","Lottery prediction","Repository-described frequency; recurrent; Transformer-style experiments","Repository-defined backtests","Unclear",UNCLEAR,"CLAIMED_BY_SOURCE; not adopted","PUBLIC_HOBBY_REPOSITORY",YES,UNCLEAR,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Idea discovery only; insufficient efficacy authority",EH22
S38,LOW_CONFIDENCE_SOURCE,"powerpredict","cpeoples",YEAR_NOT_ASSERTED,"https://github.com/cpeoples/powerpredict",2026-08-13,"lottery-specific; ensemble","Powerball-like prediction","Repository-described historical features and models","Repository-defined evaluation","Unclear",UNCLEAR,"CLAIMED_BY_SOURCE; not adopted","PUBLIC_HOBBY_REPOSITORY",YES,UNCLEAR,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Idea discovery only; insufficient efficacy authority",EH22
S39,LOW_CONFIDENCE_SOURCE,"Lotto 6/49 historical dataset","MarkKruger12",YEAR_NOT_ASSERTED,"https://github.com/MarkKruger12/lotto-649-historical-dataset",2026-08-13,"lottery-specific; data","Provide historical draw data","Static external dataset snapshot","No efficacy evaluation","Not applicable",NOT_APPLICABLE,"No performance claim adopted","PUBLIC_DATA_REPOSITORY",YES,YES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Potential data reference only; not used as local authority",EH10
S40,PRIMARY_TECHNICAL_SOURCE,"Shannon Entropy and Beyond: An Information-Theoretic Framework for Randomness Pre-Screening","Alexandru Dinu",2026,"https://pmc.ncbi.nlm.nih.gov/articles/PMC13298215/",2026-08-13,"lottery-specific; information theory","Randomness pre-screening","Shannon; Renyi; permutation; sample entropy profile","Published classification study including Romanian Loto 6/49","PRNG; logistic map; biased distribution",TEMPORAL_DETAILS_REPORTED_BY_SOURCE,"CLAIMED_BY_SOURCE; EXTERNAL_UNVERIFIED_CLAIM","PEER_REVIEWED_OPEN_ACCESS_PAPER",NO,YES,"EXTERNAL_UNVERIFIED_CLAIM",NOT_RUN,"Lottery-specific primary source; efficacy and empirical findings not locally reproduced",EH10
