hypothesis_id,canonical_title,origin,source_provenance,closest_existing_internal_hypothesis,closest_historical_strategy,collision_status,historical_testability,data_readiness,forward_readiness_if_known,new_model_output_required,runtime_requirement,fast_falsification_spec_available,discovery_priority,orthogonality,estimated_compute,execution_status
H11,Pair/triple interaction residual after marginal number scores,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__evaluate_combinations__d49d0787d0c6,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,REQUIRES_NEW_MODEL_OUTPUT,YES,HIGH; 4_TO_12_HOURS,YES,TIER_2_EXPLORE_AFTER,5/5,HIGH; 4_TO_12_HOURS,NOT_EXECUTED
H12,Temporal hypergraph motifs / communities,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__backtest_apriori__2abb53765703,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,4/5,READY_FOR_HISTORICAL_EXPERIMENT,REQUIRES_NEW_RUNTIME_ARCHITECTURE,YES,MEDIUM_MINIMAL_MOTIFS_TO_HIGH_BROAD_SEARCH,YES,TIER_2_EXPLORE_AFTER,5/5,MEDIUM_MINIMAL_MOTIFS_TO_HIGH_BROAD_SEARCH,NOT_EXECUTED
H13,Temporal graph change rather than static graph score,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__cooccurrence_graph__25fa2e473092,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,MEDIUM; 2_TO_6_HOURS,YES,TIER_2_EXPLORE_AFTER,4/5,MEDIUM; 2_TO_6_HOURS,NOT_EXECUTED
H14,DPP/submodular portfolio selection under a calibrated score,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__backtest_big_lotto_orthogonal_5bet__c4dff46c5a5e,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_SMALL_ENGINEERING,CONDITIONAL_UPSTREAM_SCORE_REQUIRED,MEDIUM,YES,TIER_1_EXPLORE_NOW,3/5,MEDIUM,NOT_EXECUTED
H15,Multi-objective hit-depth / coverage / overlap / payout-proxy optimizer,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__portfolio_optimizer__1a6efc7959b6,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=PARTIALLY_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_SMALL_ENGINEERING,NO_PREDICTIVE_MODEL,MEDIUM_TO_HIGH; 2_TO_8_HOURS,YES,TIER_2_EXPLORE_AFTER,3/5,MEDIUM_TO_HIGH; 2_TO_8_HOURS,NOT_EXECUTED
H16,Joint main-number/special-number conditional model,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,NONE_WITHIN_CANONICAL_133,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,3/5,PARTIAL_HISTORICAL_INPUT_PATH,REQUIRES_NEW_RUNTIME_ARCHITECTURE,YES,MEDIUM; 2_TO_6_HOURS_AFTER_LEGAL_JOINT_CONTRACT,YES,TIER_3_LONG_SHOT,5/5,MEDIUM; 2_TO_6_HOURS_AFTER_LEGAL_JOINT_CONTRACT,NOT_EXECUTED
H17,Dynamic Bayesian state-space probability model,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__backtest_biglotto_6bet_ewma__e1b5e100d254,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,4/5,READY_FOR_HISTORICAL_EXPERIMENT,REQUIRES_NEW_MODEL_OUTPUT,YES,MEDIUM_TO_HIGH,YES,TIER_2_EXPLORE_AFTER,5/5,MEDIUM_TO_HIGH,NOT_EXECUTED
H18,HMM latent-regime gating,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__predict_evolutionary_gum__b3e96cf483b0,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,4/5,READY_FOR_HISTORICAL_EXPERIMENT,REQUIRES_NEW_MODEL_OUTPUT,YES,HIGH; 4_TO_12_HOURS,YES,TIER_2_EXPLORE_AFTER,4/5,HIGH; 4_TO_12_HOURS,NOT_EXECUTED
H19,Change-point-triggered strategy allocation,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__auto_optimizer_alpha__7eaa9572e384,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,LOW_TO_MEDIUM,YES,TIER_1_EXPLORE_NOW,5/5,LOW_TO_MEDIUM,EXECUTED_NOT_ADVANCED
H20,Entropy/distribution-shift anomaly gating,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__optimize_deviation_extreme_generic__87e19bb3514a,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_SMALL_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,LOW; 30_TO_120_MINUTES,YES,TIER_2_EXPLORE_AFTER,4/5,LOW; 30_TO_120_MINUTES,NOT_EXECUTED
H21,Negative-information candidate suppressor,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__anti_consensus_strategy__a454ddd26cef,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=PARTIALLY_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_MEDIUM_ENGINEERING,NO_NEW_BASE_MODEL_BUT_DERIVED_OUTPUT_OVERLAY,LOW_TO_MEDIUM_FIXED_PAIR,YES,TIER_2_EXPLORE_AFTER,5/5,LOW_TO_MEDIUM_FIXED_PAIR,ACTIVE_UNRESOLVED
H22,Conditional/nested exact null and paired counterfactual calibration,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__scientific_baseline_report__a638f456eb66,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=PARTIALLY_TESTED,5/5,READY_FOR_HISTORICAL_EXPERIMENT,HISTORICAL_ONLY_CURRENTLY,NO_PREDICTIVE_MODEL,MEDIUM; 1_TO_3_HOURS,YES,TIER_2_EXPLORE_AFTER,5/5,MEDIUM; 1_TO_3_HOURS,NOT_EXECUTED
H23,"LSTM as residual/meta-feature, not direct ticket generator",INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__advanced_methods_benchmark__87ee0d15033c,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,3/5,PARTIAL_HISTORICAL_INPUT_PATH,REQUIRES_NEW_RUNTIME_ARCHITECTURE,YES,HIGH; 6_TO_24_HOURS,YES,TIER_3_LONG_SHOT,5/5,HIGH; 6_TO_24_HOURS,NOT_EXECUTED
H24,Transformer as residual/meta-feature,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__attention_replay_predictor__a811e2eb8215,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,3/5,PARTIAL_HISTORICAL_INPUT_PATH,REQUIRES_NEW_RUNTIME_ARCHITECTURE,YES,HIGH; 8_TO_24_HOURS,YES,TIER_3_LONG_SHOT,5/5,HIGH; 8_TO_24_HOURS,NOT_EXECUTED
H25,XGBoost stacking strategy outputs and history,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__xgboost_model__38c72a70c627,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=FAMILY_TESTED_NEW_HYPOTHESIS_OPEN,5/5,READY_FOR_HISTORICAL_EXPERIMENT,REQUIRES_NEW_MODEL_OUTPUT,YES,MEDIUM; 1_TO_4_HOURS,YES,TIER_2_EXPLORE_AFTER,3/5,MEDIUM; 1_TO_4_HOURS,NOT_EXECUTED
H26,Special-aware portfolio geometry,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__portfolio_optimizer__1a6efc7959b6,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=NOT_TESTED,3/5,PARTIAL_HISTORICAL_INPUT_PATH,REQUIRES_NEW_RUNTIME_ARCHITECTURE,YES,MEDIUM; 2_TO_6_HOURS_AFTER_LEGAL_JOINT_TICKETS,YES,TIER_3_LONG_SHOT,5/5,MEDIUM; 2_TO_6_HOURS_AFTER_LEGAL_JOINT_TICKETS,NOT_EXECUTED
H27,Preregistered confirmation of horizon-minimax disagreement,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__auto_optimizer_alpha__7eaa9572e384,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=PARTIALLY_TESTED,3/5,READY_FOR_HISTORICAL_EXPERIMENT,READY_WITH_SMALL_ENGINEERING,NO,LOW_REPRODUCTION_COMPUTE; PROSPECTIVE_ELAPSED_TIME_HIGH,YES,TIER_1_EXPLORE_NOW,5/5,LOW_REPRODUCTION_COMPUTE; PROSPECTIVE_ELAPSED_TIME_HIGH,NOT_EXECUTED
H28,Prospective confirmation of frozen EWMA drift H1/H2,INTERNAL,B649_TRACK_D_RESEARCH_SURFACE_R1.md@sha256:26add8e34cb259cffdd54c6cd8f91373980ffe7c2277b17b2afaca8c936c8859,SELF,legacy_biglotto__backtest_biglotto_6bet_ewma__e1b5e100d254,OPEN_NO_EXACT_HISTORICAL_MATCH; PRIOR_CONTACT=PARTIALLY_TESTED,1/5,PROTOCOL_ONLY_CALENDAR_GATED,READY_NOW,NO,LOW_LESS_THAN_1_HOUR_PER_UPDATE; CALENDAR_DURATION_UNKNOWN,YES,TIER_1_EXPLORE_NOW,3/5,LOW_LESS_THAN_1_HOUR_PER_UPDATE; CALENDAR_DURATION_UNKNOWN,NOT_EXECUTED
EH01,MATRIX_PROFILE_MOTIF_DISCORD_REGIME_ALLOCATOR,EXTERNAL_NEW,S01:STUMPY|https://github.com/stumpy-dev/stumpy; S02:Matrix Profile I: All Pairs Similarity Joins for Time Series|https://mcyeh.github.io/paper/2016_icdm_all_pairs_similarity.pdf,H19;H20,legacy_biglotto__predict_biglotto_echo_2bet__59c20b25b1fa,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW_TO_MEDIUM; HOURS_UNKNOWN,YES,4.9,5/5,LOW_TO_MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH02,TRANSFER_ENTROPY_DIRECTED_LAG_GRAPH,EXTERNAL_NEW,S03:Java Information Dynamics Toolkit|https://github.com/jlizier/jidt; S04:Measuring Information Transfer|https://arxiv.org/abs/nlin/0001042,H11;H12;H13,legacy_biglotto__cooccurrence_graph__25fa2e473092,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,4/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM; HOURS_UNKNOWN,YES,4.4,5/5,MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH03,RECURRENCE_QUANTIFICATION_STATE_GATE,EXTERNAL_NEW,S27:Recurrence plots for the analysis of complex systems|https://doi.org/10.1016/j.physrep.2006.11.001,H18;H20,legacy_biglotto__predict_biglotto_echo_2bet__59c20b25b1fa,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,4/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW_TO_MEDIUM; HOURS_UNKNOWN,YES,4.5,5/5,LOW_TO_MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH04,CONTEXT_TREE_WEIGHTED_SYMBOLIC_RESIDUAL_FORECASTER,EXTERNAL_NEW,S28:The Context-Tree Weighting Method: Basic Properties|https://pure.tue.nl/ws/files/1383848/Metis122608.pdf,H07;H17,legacy_biglotto__test_tme__f3bb5106dfe3,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW; HOURS_UNKNOWN,YES,4.9,5/5,LOW,NOT_EXECUTED_PROPOSED_ONLY
EH05,DENSITY_RATIO_IMPORTANCE_WEIGHTED_RECALIBRATION,EXTERNAL_NEW,S05:River|https://github.com/online-ml/river; S30:A Least-squares Approach to Direct Importance Estimation|https://jmlr.csail.mit.edu/papers/v10/kanamori09a.html,H07;H20,legacy_biglotto__xgboost_model__38c72a70c627,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; PARTIAL_REQUIRES_OUT_OF_FOLD_NUMBER_SCORES,5/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW_TO_MEDIUM; HOURS_UNKNOWN,YES,4.8,4/5,LOW_TO_MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH06,HAWKES_EXCITATION_INHIBITION_RESIDUAL_SCORER,EXTERNAL_NEW,S18:tick|https://github.com/X-DataInitiative/tick; S19:tick: a Python library for statistical learning with an emphasis on Hawkes processes and time-dependent models|https://www.jmlr.org/papers/v18/17-381.html,H11;H12;H17,legacy_biglotto__cooccurrence_graph__25fa2e473092,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,3/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,3/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM_TO_HIGH; HOURS_UNKNOWN,YES,4.0,5/5,MEDIUM_TO_HIGH,NOT_EXECUTED_PROPOSED_ONLY
EH07,NVAR_RESERVOIR_CAUSAL_RESIDUAL_META_FEATURE,EXTERNAL_NEW,S20:ReservoirPy|https://github.com/reservoirpy/reservoirpy; S21:Next generation reservoir computing|https://www.nature.com/articles/s41467-021-25801-2,H17;H23;H25,legacy_biglotto__attention_replay_predictor__a811e2eb8215,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,3/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM; HOURS_UNKNOWN,YES,4.2,5/5,MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH08,PERSISTENT_HOMOLOGY_ROLLING_STRUCTURE_GATE,EXTERNAL_NEW,S22:giotto-tda|https://github.com/giotto-ai/giotto-tda; S23:A Short Survey of Topological Data Analysis in Time Series and Systems Analysis|https://arxiv.org/abs/1809.10745,H12;H13;H20,legacy_biglotto__cooccurrence_graph__25fa2e473092,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,2/5; FAST_FALSIFICATION_SPEC_AVAILABLE,3/5; READY_DERIVABLE,3/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; HIGH; HOURS_UNKNOWN,YES,3.6,5/5,HIGH,NOT_EXECUTED_PROPOSED_ONLY
EH09,STRATEGY_DRAW_METRIC_TENSOR_FACTOR_RESIDUAL_GATE,EXTERNAL_NEW,S24:TensorLy|https://github.com/tensorly/tensorly; S25:TensorLy: Tensor Learning in Python|https://www.jmlr.org/papers/v20/18-277.html,H03;H11;H12,legacy_biglotto__advanced_methods_benchmark__87ee0d15033c,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,4/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM; HOURS_UNKNOWN,YES,4.4,5/5,MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
