hypothesis_id,title,information_set,transformation,target,temporal_rule,selection_or_gating,source_ids,raw_idea_count,existing28_classification,closest_existing_hypotheses,survivor,frontier_tier,canonical_definition,novelty_basis,local_validation_status,external_claim_status
EH11,MMD_JOINT_DISTRIBUTION_SHIFT_ALLOCATOR,"Recent and reference multivariate draw/residual feature windows","Maximum mean discrepancy with permutation or sequentially calibrated thresholds","Strategy allocation; model reset; or abstention","Reference set and kernel bandwidth chosen without future data; alarms evaluated prequentially","On supported joint shift select a predeclared fallback or abstain; never infer which numbers changed from the same test",S10;S11;S12,2,EXTENSION_OF_EXISTING,H20,YES,TIER_A,"Use a causal kernel two-sample statistic to detect joint distribution shifts that scalar entropy tests can miss and trigger a fixed allocation action","Multivariate kernel shift test extends the H20 anomaly gate",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH12,WASSERSTEIN_WINDOW_SHIFT_ALLOCATOR,"Ordered recent and reference empirical distributions of draw/residual features","Regularized Wasserstein or sliced-Wasserstein distance","Changepoint alarm; strategy reset; or abstention","Only backward-looking windows; thresholds fit on earlier null segments","Trigger only a prespecified action; use robust scaling and minimum window support",S31,2,EXTENSION_OF_EXISTING,H19;H20,YES,TIER_A,"Compare causal windows with an optimal-transport distance and test whether alarms support a fixed allocation or abstention rule","Geometry-aware distribution shift extends H19 and H20",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH13,CONFORMAL_SET_SIZE_COVERAGE_ABSTENTION,"Causal out-of-fold per-number scores and calibration residuals","Adaptive conformal sets or risk-control calibration","Strategy eligibility; candidate-set size; or abstention","Calibration windows precede each prediction; coverage monitored prequentially","Abstain or downweight when the calibrated candidate set exceeds a frozen size or coverage degrades",S13;S14;S15,2,COMBINATION_OF_EXISTING,H07;H09,YES,TIER_C,"Combine calibrated per-number probabilities with uncertainty-set size and empirical coverage to drive a causal reject or allocation rule","New actionable combination of probability calibration and uncertainty",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH14,CONTEXT_CONDITIONED_MMD_DRIFT_GATE,"Predeclared causal contexts plus recent/reference residual feature windows","Context-stratified MMD with multiplicity control","Conditional strategy allocation or abstention","Contexts; kernels; and alpha-spending frozen in training; minimum subgroup support enforced","Act only on replicated context-specific shifts; otherwise retain global baseline",S10;S11;S12,2,COMBINATION_OF_EXISTING,H18;H20,YES,TIER_B,"Test joint distribution shift inside predeclared regimes to detect conditional heterogeneity hidden by a global null","New combination of regime conditioning and multivariate drift",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH15,CHANGEPOINT_TRIGGERED_META_SELECTION,"Causal changepoint statistics plus frozen-strategy out-of-fold residual histories","ADWIN; Page-Hinkley; or one prespecified detector followed by local competence estimation","Choose among frozen strategy families; reset; or abstain","Detector and selector fit only on prior residuals; action begins after alarm","Require minimum post-alarm support; no retroactive relabeling of the alarm segment",S05;S06;S07,2,COMBINATION_OF_EXISTING,H01;H03;H19,YES,TIER_C,"Use a causal changepoint alarm to change the training horizon or eligible strategy set of a residual meta-selector","Mechanistically clear combination of H19 with H01/H03",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH16,CALIBRATED_PROBABILITY_DPP_PORTFOLIO,"Causal calibrated per-number probabilities plus ticket similarity features","DPP kernel combining ticket quality and diversity","Multi-ticket portfolio for M1+; M2+; M3+ or coverage","Calibration and kernel hyperparameters fit inside training folds; tickets generated after scoring","Select a fixed ticket count; compare quality-only and diversity-only controls",S13;S15;S16,2,COMBINATION_OF_EXISTING,H07;H14,YES,TIER_C,"Build a DPP ticket kernel whose quality term is a causally calibrated probability objective and whose similarity term controls overlap","New testable combination of H07 and H14 rather than a new DPP method",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH17,STATE_SPACE_POSTERIOR_MULTIWINDOW_DISAGREEMENT,"Causal posterior state estimates and predeclared short/medium/long window predictors","Posterior predictive disagreement and slope contrast","Strategy allocation or abstention","All windows end at t-1; state model and thresholds refit within training folds","Use only disagreement patterns with replicated conditional residual effects",S09;S21,1,COMBINATION_OF_EXISTING,H04;H17,YES,TIER_C,"Combine a Bayesian latent-state posterior with multi-window disagreement to gate a fixed strategy or abstention action","New combination of H17 state inference and H04 horizon disagreement",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH18,E_PROCESS_ANYTIME_VALID_PROMOTION_ABSTENTION_GATE,"Sequential loss differences of a candidate strategy versus frozen baseline","E-values; test martingales; or e-processes with prespecified betting function","Promote; continue; demote; or abstain from a research strategy","Update after each realized draw; optional stopping allowed only under the specified e-process","Promotion requires threshold crossing and safety diagnostics; no score reuse for tuning",S29,1,EXTENSION_OF_EXISTING,H22;H28,YES,TIER_A,"Use an anytime-valid evidence process over prequential loss differences to control when a hypothesis is promoted or suspended","Extends nested-null and prospective confirmation with optional-stopping-safe action",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH19,BOCPD_RUN_LENGTH_GATE,"Causal draw or residual stream","Bayesian online changepoint posterior and run-length distribution","Regime allocation or reset","Posterior updated only with observations through t-1","Gate on frozen posterior-probability thresholds",S08;S09,1,SUBCASE_OF_EXISTING,H19,NO,NOT_APPLICABLE,"Use BOCPD run-length probabilities as the changepoint signal for strategy allocation","Specific implementation already contained by H19",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH20,DES_LOCAL_COMPETENCE_SELECTOR,"Frozen base-strategy out-of-fold residuals and current covariates","Neighborhood competence estimation","Select one or more existing strategies","Neighborhood and competence definitions fit within training folds","Select only when local support exceeds threshold",S17,1,SUBCASE_OF_EXISTING,H01;H03,NO,NOT_APPLICABLE,"Apply dynamic ensemble selection to frozen strategy predictions","Local-competence selection is a subcase of H01/H03",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH21,DPP_DIVERSITY_PORTFOLIO_ALONE,"Ticket quality scores and pairwise similarity","Determinantal point process","Diverse multi-ticket portfolio","Kernel fit causally","Sample or maximize a DPP objective",S16,1,EXACT_EXISTING_HYPOTHESIS,H14,NO,NOT_APPLICABLE,"Use a DPP or submodular diversity objective to select tickets","Exact semantic collision with H14",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH22,STATIC_LOTTERY_NEURAL_MARKOV_ENSEMBLE,"Historical draw indicators and handcrafted frequency features","Static LSTM; Transformer; Markov; boosting; or voting ensemble","Next-draw ticket or number ranking","Repository-defined historical split; often unclear","Always emit a prediction",S37;S38,1,SUBCASE_OF_EXISTING,H03;H23;H24;H25,NO,NOT_APPLICABLE,"Combine common neural; Markov; and frequency predictors without a new causal gate or target","Components and generic stacking are already represented",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH23,CONFORMAL_CALIBRATION_ALONE,"Out-of-fold point predictions and calibration residuals","Conformal calibration","Coverage or candidate set","Calibration precedes prediction","Return calibrated set",S13;S15,1,SUBCASE_OF_EXISTING,H07;H09,NO,NOT_APPLICABLE,"Apply conformal calibration without a new downstream decision rule","Contained by calibrated probability and uncertainty hypotheses",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH24,TENSOR_DECOMPOSITION_OF_PAIR_TRIPLE_COOCCURRENCE,"Historical pair or triple incidence tensor","CP or Tucker factorization","Pair/triple score","Causal expanding window","Rank combinations by factor score",S24;S25,1,SUBCASE_OF_EXISTING,H11;H12,NO,NOT_APPLICABLE,"Factor a number co-occurrence tensor to score pairs or triples","A particular higher-order transformation contained by H11/H12 unless linked to a new target",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH25,TS2VEC_CAUSAL_RESIDUAL_EMBEDDING,"Causal multichannel draw and frozen-strategy residual sequences","Self-supervised hierarchical contrastive temporal encoding","Residual prediction; analogue retrieval; or strategy allocation","Training windows and augmentations contain no future context; inference uses causal sliding mode","Use a simple frozen downstream head and compare against raw lag features",S33;S34,1,GENUINELY_NEW_HYPOTHESIS,H23;H24;H25,YES,TIER_D,"Learn causal self-supervised embeddings of residual sequences before applying a low-capacity downstream allocator","Representation-learning objective is new even though neural predictors exist",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH26,STATIONARY_VINE_COPULA_RESIDUAL_DEPENDENCE,"Calibrated marginal residuals for numbers or strategy families","Regularized stationary vine-copula decomposition","Joint tail-state score; portfolio dependence; or conditional allocation","Marginals and vine structure fit only on prior out-of-fold residuals","Retain only stable edges and compare with pairwise-correlation controls",S35;S36,1,GENUINELY_NEW_HYPOTHESIS,H07;H11,YES,TIER_E,"Model residual dependence after marginal calibration with a stationary vine and test whether joint tail states add conditional information","Copula separation of marginals and higher-order dependence is absent from the 28",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
EH27,SPARSE_SUBSET_SCAN_CONDITIONAL_EDGE_GATE,"Causal standardized residuals across numbers; strategies; or predeclared groups","Penalized scan statistic or higher-criticism-style aggregation","Detect sparse coordinated edge and choose a fixed allocation or abstention action","Subsets; penalties; and alarm thresholds calibrated only on earlier null windows","Act only after replicated alarms with minimum duration; no post hoc subgroup naming",S32,1,GENUINELY_NEW_HYPOTHESIS,H10;H20;H22,YES,TIER_B,"Scan for sparse coordinated deviations that vanish in global averages and use alarms as a causal conditional-effect gate","New sparse-cross-sectional target and aggregation rule",NOT_RUN,"EXTERNAL_UNVERIFIED_CLAIM"
