capability_id,capability_name,current_status,authority,source_path_or_artifact,coverage_count,semantic_limitation,implementation_scope,likely_modules_or_surfaces,new_schema_needed,new_adapter_needed,new_historical_replay_needed,new_training_pipeline_needed,observer_changes_needed,db_schema_changes_needed,persistence_class,reusability_0_5
C11,CROSS_STRATEGY_DISAGREEMENT_STATE,AVAILABLE_DERIVABLE,verified sealed historical evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 ticket outputs support declared disagreement measures,Ticket-support disagreement is not model uncertainty or internal rank disagreement.,S,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C12,REGIME_DESCRIPTOR,AVAILABLE_PARTIAL,verified Track D authority,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,sealed four-axis regime evidence for 20 causal candidates; no proven generic 51 join,Exploratory/multiplicity-exposed regime cells are not deployable state labels.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C13,CHANGE_POINT_SIGNAL,AVAILABLE_PARTIAL,sealed EWMA R4 protocol,/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_EWMA_PROSPECTIVE_SHADOW_PROTOCOL_R4/prospective_protocol.json,exact frozen EWMA event path exists; no generic change-point detector contract,EWMA HIGH event is not interchangeable with an arbitrary change-point algorithm.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C14,PAIR_INTERACTION_FEATURES,AVAILABLE_DERIVABLE,verified sealed combination evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,sealed causal pair history available; runtime feature schema absent,Observed pair frequency is not residual interaction after marginal control.,S,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C15,TRIPLE_INTERACTION_FEATURES,AVAILABLE_DERIVABLE,verified sealed combination evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,sealed causal triple history available; runtime feature schema absent,Observed triple frequency is not residual interaction after marginal control.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C16,GRAPH_FEATURES,AVAILABLE_DERIVABLE,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,raw history and pinned graph implementations exist; no shared typed graph feature output,Internal graph calculations are not public adapter outputs and are method-specific.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C17,HYPERGRAPH_FEATURES,MISSING_LARGE,verified Top10 experiment specification,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md,0 generic rolling hypergraph feature contracts,Static graph/co-occurrence paths do not establish temporal hypergraph motifs.,L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,3
C18,TEMPORAL_GRAPH_STATE,MISSING_MEDIUM,verified Track D specifications,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0 generic versioned rolling graph-state contracts,"Static graph score is not graph change, community turnover, or motif state.",L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C19,PORTFOLIO_OVERLAP_METRIC,AVAILABLE_DERIVABLE,verified Track D portfolio evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,51/51 where successful legal tickets are emitted,Geometry can remove structural handicap but does not create predictive signal.,XS,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C20,PORTFOLIO_DIVERSITY_OBJECTIVE,AVAILABLE_PARTIAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,multiple pinned portfolio heuristics; no common canonical objective,Existing covering/diversity rules are not a DPP or one shared comparable objective.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C21,DPP_KERNEL_OR_EQUIVALENT,MISSING_MEDIUM,verified Top10 experiment specification,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md,0 exact pinned DPP/submodular runtime contracts,Related greedy/cover/orthogonal methods do not establish the proposed kernel or utility.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,3
C22,NEGATIVE_INFORMATION_SCORE,AVAILABLE_PARTIAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md,negative-selection implementations exist; 0/51 canonical negative-score outputs,"A negative ticket producer is not a typed, causal suppression score.",M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,3
C23,UNCERTAINTY_OUTPUT,MISSING_LARGE,verified Track D gap evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0/51 typed uncertainty outputs,"Dispersion, epistemic, aleatoric, interval, and entropy uncertainty must be distinguished.",L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C24,ENSEMBLE_DISPERSION_OUTPUT,MISSING_LARGE,verified Track D gap evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0/51 comparable frozen-member dispersion outputs,Ticket disagreement is not calibrated model dispersion.,L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C25,BAYESIAN_LATENT_STATE,MISSING_LARGE,verified Top10 experiment specification,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md,0 canonical filtered Bayesian latent-state outputs,A method named Bayesian does not provide parity with a typed filtered posterior.,XL,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,3
C26,HMM_STATE,MISSING_LARGE,verified Track D gap evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0 canonical filtered HMM state outputs,Filtered pre-target state is required; full-sequence smoothed state is forbidden.,L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,3
C27,SPECIAL_NUMBER_CONDITIONAL_OUTPUT,MISSING_LARGE,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/adapters/base.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=a4e5571491c7358d8624acb8fe53f99c3bba9611;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,0/51; base contract always returns special_number=None,A special hit inside a generic candidate set is not a special-number forecast.,XL,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,2
C28,MAIN_SPECIAL_JOINT_OUTPUT,MISSING_LARGE,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/adapters/base.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=a4e5571491c7358d8624acb8fe53f99c3bba9611;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,0/51; no legal joint predictive contract,Main-only ticket output cannot be promoted to a joint main/special distribution.,XL,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,2
C29,DETERMINISTIC_SEED_CONTROL,AVAILABLE_CANONICAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;pinned biglotto adapter modules,51/51 reproducible from causal input/code if execution succeeds,"Seed metadata is implementation/provenance, not present in the public execution output; some adapters synthesize next-target identity.",XS,future research feature/output module; versioned adapter; observer routing,NO,NO,YES,NO,NO,NO,RUNTIME_ONLY_CAPABILITY;SEALED_RESEARCH_ARTIFACT,5
C30,CAUSAL_FEATURE_CUTOFF,AVAILABLE_PARTIAL,pinned base contract and sealed R4 observer,src/lottolab/strategies/adapters/base.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=a4e5571491c7358d8624acb8fe53f99c3bba9611;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_COMBINATION_PROSPECTIVE_FORWARD_OBSERVER_R4/observer_contract.json,51/51 accept CausalDrawRow history; target exclusion/chronology is caller-owned,Base validation does not carry a target identity or prove monotone chronology; observer must enforce strict prior history.,S,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C31,FORWARD_OBSERVER_INPUT_CONTRACT,RUNTIME_PATH_EXISTS_BUT_NOT_CANONICAL,sealed R4 observer,/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_COMBINATION_PROSPECTIVE_FORWARD_OBSERVER_R4/observer_contract.json,0/51 generic; R4 authorizes only 4 producer members in 3/40 frozen candidates,R4 is combination-specific and cannot be reused as generic Cohort V2 authority.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C32,COHORT_MEMBER_EXECUTABILITY,AVAILABLE_PARTIAL,pinned catalog and sealed authorities,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_STRATEGY_K_HISTORICAL_MATRIX_AUTHORITY_R1/strategy_universe.json;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_COMBINATION_PROSPECTIVE_FORWARD_OBSERVER_R4/observer_contract.json,51/51 catalog-loadable; 50/51 potentially usable at normal history; per-target closures remain,"Executable means loadable path, not total successful producer or observer compatibility.",M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C33,SHARED_ROLLING_STATE_ENGINE,AVAILABLE_PARTIAL,sealed EWMA precedent and verified gap map,/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_EWMA_PROSPECTIVE_SHADOW_PROTOCOL_R4/prospective_protocol.json;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,exact EWMA-specific state exists; no generic shared engine,Shared computation must preserve separate hypothesis/version semantics.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C34,SHARED_STRATEGY_RESIDUAL_ENGINE,MISSING_MEDIUM,verified Track D specifications,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0 generic forward residual ledgers,"Must freeze outcome, baseline, eligible strategy set, lag, and unavailable semantics.",M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C35,SHARED_MULTI_WINDOW_FEATURE_ENGINE,AVAILABLE_PARTIAL,verified Top10 spec and sealed window evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md;/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_STRATEGY_K_HISTORICAL_MATRIX_AUTHORITY_R1/strategy_k_summary.csv,historical windows exist; no generic live versioned feature producer,"Window levels, derivatives, and disagreement require frozen formulas and minimum history.",S,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C36,SHARED_GRAPH_FEATURE_ENGINE,AVAILABLE_PARTIAL,git:2db4da27aee716805c393eb9c7dd41aff8e9527e,src/lottolab/strategies/catalog.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=099f2a8c9ccbacc8306b2397c560bef413b24217;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,method-local graph calculations exist; no shared graph/hypergraph schema,"Reusing computation must not merge graph, temporal graph, and hypergraph hypotheses.",L,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C37,SHARED_PORTFOLIO_GEOMETRY_ENGINE,AVAILABLE_PARTIAL,verified Track D portfolio evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md,historical overlap geometry and several optimizers exist; no common forward engine,Predictive-signal readiness and post-prediction operator readiness remain separate.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C38,SHARED_MODEL_SCORE_CONTRACT,MISSING_MEDIUM,design derived from verified public-output gaps,src/lottolab/strategies/adapters/base.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=a4e5571491c7358d8624acb8fe53f99c3bba9611;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0 generic typed score envelope across strategy/number/ticket outputs,Typed scores remain objective/scale specific and are never automatically probabilities.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C39,SHARED_CAUSAL_FEATURE_STORE,AVAILABLE_HISTORICAL_ONLY,verified sealed research evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md,sealed historical features exist; no generic immutable forward feature store,Use sealed per-draw artifacts first; this task does not justify a production DB migration.,L,future research feature/output module; versioned adapter; observer routing,YES,OPTIONAL,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C40,SHARED_FORWARD_OBSERVER_ADAPTER,RUNTIME_PATH_EXISTS_BUT_NOT_CANONICAL,sealed R4 observer precedent,/Users/kelvin/VibeCoding-WorkSpace/.task-data/B649_COMBINATION_PROSPECTIVE_FORWARD_OBSERVER_R4/observer_contract.json,R4 two-phase precedent exists; 0 generic Cohort V2 adapters,Observer can consume outputs but cannot manufacture a missing producer contract.,M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C41,BOUNDED_CAUSAL_CANDIDATE_TICKET_POOL,AVAILABLE_PARTIAL,verified Top10 experiment specification,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md,successful strategy outputs can form pools; no universal frozen pool/identity contract,"Pool, budget, ordering, deduplication, scores, and cutoff must be predeclared.",M,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,NO,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,4
C42,DETERMINISTIC_OOF_TRAINING_REPLAY_PIPELINE,MISSING_LARGE,verified Track D specifications,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_TOP10_TRACK_B_EXPERIMENT_SPECS_R1.md;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0 generic model training/OOF replay runtime,"Needed for learned outputs; exact fold, RNG, artifact, calibration, and leakage semantics must be sealed.",XL,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,YES,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
C43,LEGAL_MAIN_SPECIAL_TICKET_CONSTRUCTOR,MISSING_LARGE,pinned base contract and verified gap evidence,src/lottolab/strategies/adapters/base.py@2db4da27aee716805c393eb9c7dd41aff8e9527e;blob=a4e5571491c7358d8624acb8fe53f99c3bba9611;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,0/51; current base contract is main-only,"Requires a new legal representation, output schema, scoring, and observer path.",XL,future research feature/output module; versioned adapter; observer routing,YES,YES,YES,OPTIONAL,YES,NO,RUNTIME_ONLY_CAPABILITY;EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,2
C44,CONDITIONAL_NULL_REPLAY_ENGINE,AVAILABLE_HISTORICAL_ONLY,verified sealed inferential evidence,/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_RESEARCH_SURFACE_R1.md;/Users/kelvin/VibeCoding-WorkSpace/B649_TRACK_D_REMAINING18_DEEP_AUDIT_R1.md,exact nulls exist; no generic nested adaptive-selection replay engine,"This is evaluation infrastructure, not a standalone forward producer.",M,future research feature/output module; versioned adapter; observer routing,YES,NO,YES,NO,NO,NO,EPHEMERAL_RESEARCH_OUTPUT;SEALED_RESEARCH_ARTIFACT,5
