hypothesis_id,hypothesis_name,required_data_field,availability,authority_or_derivation,coverage_scope,proxy_warning,track_b_action
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,historical_delta,AVAILABLE_AUTHORITATIVE,Hit Depth/robustness/combination result cells; new objectives derivable causally,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,family,AVAILABLE_AUTHORITATIVE,Pinned 2db4da27 strategy catalog method_family,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,candidate_k,NOT_REQUIRED,Strategy-K authority: 7 direct within 51 historical/current overlap; not 133-wide,7/51 direct historical/current overlap; 44 portfolio aggregation undefined; 82 raw-only outside runtime overlap,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,candidate_ranking,NOT_REQUIRED,"Combination A/C are portfolio/frequency proxies, not source-internal rank",Proxy authorities only; never label as STRATEGY_INTERNAL_RANKING,,Use only explicitly named behavioral proxy or generate a new causal rank; never relabel proxy as internal rank.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,strategy_internal_score,NOT_REQUIRED,Not retained across the 133 raw histories,0/133 common authoritative field,,"Engineer a new, versioned model output if required; historical ticket rows do not identify it."
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,number_level_probabilities,AVAILABLE_DERIVABLE,"Causal trailing 49-number frequency vectors are derivable, but they are features—not calibrated probabilities.",0/133 common calibrated-probability field,,Generate new pre-target probabilities and calibrate out of sample; never normalize arbitrary historical scores.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,portfolio_overlap,AVAILABLE_DERIVABLE,Derivable exactly from native ticket sets before target result,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,strategy_runtime_availability,UNAVAILABLE,The new hypothesis has no pinned runtime implementation; sealed historical inputs still support offline specification/test construction.,51/133,,Discovery may use sealed raw outcomes; forward work requires a separate adapter preflight.
H03,MULTI_WINDOW_SLOPE_ACCELERATION_DISAGREEMENT,forward_adapter,UNAVAILABLE,No forward adapter for the new hypothesis exists at the pinned authority; engineering is a later Track B gate.,3/40 frozen candidates forward-generatable; not a 133-wide property,,"Treat forward execution as a later engineering/authorization gate, not as historical evidence."
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,strategy_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 identity ledger + pinned strategy catalog,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,draw_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 target_draw_id,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,target_cutoff,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 historical_input_cutoff plus draw_index chronology,133/133 historical identities or causally derivable per eligible draw,,"For the 2,831 recovered rows with incomparable local numeric draw IDs, enforce cutoff_date < target_draw_date or chronological index; do not compare numeric IDs."
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,native_tickets,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 predicted_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,native_ticket_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 positional ticket rows per strategy/draw,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,main_hit_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified main_hit_count,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,special_hit,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified special_hit,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,actual_main_numbers,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,actual_special_number,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_special_number,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,window,AVAILABLE_AUTHORITATIVE,Hit Depth Projection R1 FULL/LONG_750/MID_300/SHORT_50,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,eligible_draws,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 coverage + Hit Depth stable denominators,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,exact_baseline,AVAILABLE_AUTHORITATIVE,Hit Depth and combination authorities use exact native-multiplicity baselines,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,historical_delta,AVAILABLE_AUTHORITATIVE,Hit Depth/robustness/combination result cells; new objectives derivable causally,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,family,AVAILABLE_AUTHORITATIVE,Pinned 2db4da27 strategy catalog method_family,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,candidate_k,NOT_REQUIRED,Strategy-K authority: 7 direct within 51 historical/current overlap; not 133-wide,7/51 direct historical/current overlap; 44 portfolio aggregation undefined; 82 raw-only outside runtime overlap,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,candidate_ranking,NOT_REQUIRED,"Combination A/C are portfolio/frequency proxies, not source-internal rank",Proxy authorities only; never label as STRATEGY_INTERNAL_RANKING,,Use only explicitly named behavioral proxy or generate a new causal rank; never relabel proxy as internal rank.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,strategy_internal_score,NOT_REQUIRED,Not retained across the 133 raw histories,0/133 common authoritative field,,"Engineer a new, versioned model output if required; historical ticket rows do not identify it."
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,number_level_probabilities,UNAVAILABLE,Not retained as calibrated model outputs; tickets cannot recover them,0/133 common calibrated-probability field,NEW_MODEL_OUTPUT_REQUIRED,Generate new pre-target probabilities and calibrate out of sample; never normalize arbitrary historical scores.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,portfolio_overlap,AVAILABLE_DERIVABLE,Derivable exactly from native ticket sets before target result,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,strategy_runtime_availability,UNAVAILABLE,The new hypothesis has no pinned runtime implementation; sealed historical inputs still support offline specification/test construction.,51/133,,Discovery may use sealed raw outcomes; forward work requires a separate adapter preflight.
H04,CALIBRATED_PER_NUMBER_PROBABILITIES,forward_adapter,UNAVAILABLE,No forward adapter for the new hypothesis exists at the pinned authority; engineering is a later Track B gate.,3/40 frozen candidates forward-generatable; not a 133-wide property,,"Treat forward execution as a later engineering/authorization gate, not as historical evidence."
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,strategy_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 identity ledger + pinned strategy catalog,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,draw_id,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 target_draw_id,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,target_cutoff,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 historical_input_cutoff plus draw_index chronology,133/133 historical identities or causally derivable per eligible draw,,"For the 2,831 recovered rows with incomparable local numeric draw IDs, enforce cutoff_date < target_draw_date or chronological index; do not compare numeric IDs."
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,native_tickets,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 predicted_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,native_ticket_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 positional ticket rows per strategy/draw,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,main_hit_count,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified main_hit_count,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,special_hit,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 verified special_hit,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,actual_main_numbers,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_main_numbers,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,actual_special_number,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 actual_special_number,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,window,AVAILABLE_AUTHORITATIVE,Hit Depth Projection R1 FULL/LONG_750/MID_300/SHORT_50,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,eligible_draws,AVAILABLE_AUTHORITATIVE,Raw Foundation R2 coverage + Hit Depth stable denominators,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,exact_baseline,AVAILABLE_AUTHORITATIVE,Hit Depth and combination authorities use exact native-multiplicity baselines,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,historical_delta,AVAILABLE_AUTHORITATIVE,Hit Depth/robustness/combination result cells; new objectives derivable causally,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,family,AVAILABLE_AUTHORITATIVE,Pinned 2db4da27 strategy catalog method_family,133/133 historical identities or causally derivable per eligible draw,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,candidate_k,AVAILABLE_DERIVABLE,Track B may causally construct and freeze a bounded legal-ticket candidate pool; this is not historical source Candidate-K.,7/51 direct historical/current overlap; 44 portfolio aggregation undefined; 82 raw-only outside runtime overlap,,Reuse sealed authority read-only; calculate only with strict pre-target cutoff.
H05,DIRECT_TICKET_LEVEL_RESIDUAL_SCORING,candidate_ranking,AVAILABLE_PROXY_ONLY,"Combination A/C are portfolio/frequency proxies, not source-internal rank",Proxy authorities only; never label as STRATEGY_INTERNAL_RANKING,PROXY_ONLY_NOT_STRATEGY_INTERNAL_AUTHORITY,Use only explicitly named behavioral proxy or generate a new causal rank; never relabel proxy as internal rank.
